imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
5383304,ASTORIA,Passenger ship,2019.0,EIV (169.16 gCO₂/t·nm),,,,15/03/2020,30/06/2021,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,7689.55,,24512.83,17874.11,2250.11,695.02,3693.58,,,,4529.55,157.56,,,,663.71,,502.27,,,,2115.78,,,4529.55,,,,,,,,,,,,,,,,
6417097,MARCO POLO,Passenger ship,2019.0,EIV (68.95 gCO₂/t·nm),,,IC,10/03/2020,30/06/2021,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,8458.51,,26799.64,17773.73,2723.17,3404.79,2898.06,,,,4450.5,149.69,,,,205.95,,474.29,,,,652.52,,,4450.5,,,,,,,,,,,,,,,,
6602898,OCEAN MAJESTY,Passenger ship,2019.0,EIV (31.73 gCO₂/t·nm),Madeira,,,24/06/2020,30/06/2021,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,Yes,,,,5187.27,,16398.94,11526.87,1145.32,1614.42,2112.33,,,,3687.78,115.79,,,,331.2,,366.04,,,,1047.05,,,3687.78,,,,,,,,,,,,,,,,
6703343,EQUALITY,Other ship types,2019.0,EIV (57.84 gCO₂/t·nm),Beirut,,,30/06/2020,30/06/2021,,Dromon Bureau of Shipping,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,1128,Greece,Yes,,,,1607.6,,5059.0,0.0,2394.63,2509.12,155.25,,,,2743.0,56.58,105.98,,0.32,,,178.06,333.51,,1.01,,,,2743.0,,,,,,,,,,,,,,,,
7037806,IONIAN STAR,Ro-pax ship,2019.0,EIV (19.4 gCO₂/t·nm),,,,04/08/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,3468.0,,11118.41,9871.0,0.0,0.0,1335.9,8338.81,2779.6,,2224.0,108.42,,,,298.48,123.42,347.58,,,,956.91,395.67,,2224.0,,,,,,,,,,,,,,,,
7043843,TALOS,Ro-ro ship,2019.0,EIV (48.71 gCO₂/t·nm),Piraeus,Piraeus,,30/06/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,Yes,,3321.98,,10499.74,9949.79,0.0,0.0,549.95,,,,3685.0,67.27,148.2,,,,,212.61,468.41,,,,,,3685.0,,,,,,,,,,,,,,,,
7128332,SEA WIND,Ro-pax ship,2019.0,EIV (9.29 gCO₂/t·nm),Tallinn,Tallinn,IB,27/04/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,4122.6,,13046.64,10956.03,0.0,0.0,2053.17,3189.28,7766.71,,3825.5,83.87,,,,440.74,42.55,265.41,,,,1391.76,134.36,,3825.5,,,,,,,,,,,,,,,,
7128887,ST DAMIAN,Ro-pax ship,2019.0,EIV (27 gCO₂/t·nm),,,,22/07/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,2010.0,,6401.38,77.4,2618.4,2541.8,1163.78,2771.81,2462.59,,1918.0,83.78,,,,125.29,256.46,266.82,,,,400.09,811.75,,1918.0,,,,,,,,,,,,,,,,
7205910,SARDINIA REGINA,Ro-pax ship,2019.0,EIV (10.78 gCO₂/t·nm),Genova,,,18/08/2020,30/06/2021,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,7104.16,,22487.89,19181.2,0.0,0.0,3115.0,1574.15,20913.74,,4259.26,113.11,,,,21.01,273.5,358.03,,,,66.51,865.76,,4259.26,,,,,,,,,,,,,,,,
7224459,RIGEL I,Ro-pax ship,2019.0,EIV (155.7 gCO₂/t·nm),Limassol,Republic of Panama,,01/06/2020,30/06/2021,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,2846.81,,8950.48,5886.0,1404.0,1180.0,480.0,4454.37,4496.1,,4329.0,116.42,,,,143.74,362.07,366.03,,,,451.93,1138.36,,4329.0,,,,,,,,,,,,,,,,
