wikidataUrl,item,wikipediaUrl,wikipediaLang,imo
0,http://www.wikidata.org/entity/Q102441,https://de.wikipedia.org/wiki/Loth_Lori%C3%ABn,de,5254151
1,http://www.wikidata.org/entity/Q102441,https://es.wikipedia.org/wiki/Loth_Lori%C3%ABn,es,5254151
2,http://www.wikidata.org/entity/Q102441,https://fr.wikipedia.org/wiki/Loth_Lorien_(voilier),fr,5254151
3,http://www.wikidata.org/entity/Q112753,https://de.wikipedia.org/wiki/Wasa_Express,de,8000226
4,http://www.wikidata.org/entity/Q112753,https://fi.wikipedia.org/wiki/M/S_Wasa_Express,fi,8000226
5,http://www.wikidata.org/entity/Q112753,https://no.wikipedia.org/wiki/MS_%C2%ABColor_Traveller%C2%BB,nb,8000226
6,http://www.wikidata.org/entity/Q112753,https://sv.wikipedia.org/wiki/M/S_Wasa_Express,sv,8000226
7,http://www.wikidata.org/entity/Q115464,https://da.wikipedia.org/wiki/MS_Victoria_I,da,9281281
8,http://www.wikidata.org/entity/Q115464,https://en.wikipedia.org/wiki/MS_Victoria_I,en,9281281
9,http://www.wikidata.org/entity/Q115464,https://et.wikipedia.org/wiki/Victoria_I,et,9281281
10,http://www.wikidata.org/entity/Q115464,https://fi.wikipedia.org/wiki/M/S_Victoria_I,fi,9281281
11,http://www.wikidata.org/entity/Q115464,https://fr.wikipedia.org/wiki/Victoria_I,fr,9281281
12,http://www.wikidata.org/entity/Q115464,https://ja.wikipedia.org/wiki/%E3%83%B4%E3%82%A3%E3%82%AF%E3%83%88%E3%83%AA%E3%82%A2I_(%E3%83%95%E3%82%A7%E3%83%AA%E3%83%BC),ja,9281281
13,http://www.wikidata.org/entity/Q115464,https://ru.wikipedia.org/wiki/Victoria_I_(%D0%BF%D0%B0%D1%80%D0%BE%D0%BC),ru,9281281
14,http://www.wikidata.org/entity/Q115464,https://sv.wikipedia.org/wiki/M/S_Victoria_I,sv,9281281
15,http://www.wikidata.org/entity/Q115499,https://de.wikipedia.org/wiki/SuperStar_Aquarius,de,9008421
16,http://www.wikidata.org/entity/Q115499,https://en.wikipedia.org/wiki/SuperStar_Aquarius,en,9008421
17,http://www.wikidata.org/entity/Q115499,https://it.wikipedia.org/wiki/SuperStar_Aquarius,it,9008421
18,http://www.wikidata.org/entity/Q115499,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%A2%E3%82%AF%E3%82%A8%E3%83%AA%E3%82%A2%E3%82%B9,ja,9008421
19,http://www.wikidata.org/entity/Q74821,https://de.wikipedia.org/wiki/Ville_de_Bordeaux,de,9270842
20,http://www.wikidata.org/entity/Q74821,https://en.wikipedia.org/wiki/Ville_de_Bordeaux,en,9270842
21,http://www.wikidata.org/entity/Q74821,https://es.wikipedia.org/wiki/Ville_de_Bordeaux,es,9270842
22,http://www.wikidata.org/entity/Q74821,https://fa.wikipedia.org/wiki/%D9%88%DB%8C%D9%84_%D8%AF_%D8%A8%D9%88%D8%B1%D8%AF%D9%88,fa,9270842
23,http://www.wikidata.org/entity/Q74821,https://fr.wikipedia.org/wiki/Ville_de_Bordeaux,fr,9270842
24,http://www.wikidata.org/entity/Q74821,https://no.wikipedia.org/wiki/%C2%ABVille_de_Bordeaux%C2%BB,nb,9270842
25,http://www.wikidata.org/entity/Q74821,https://de.wikipedia.org/wiki/Ville_de_Bordeaux,de,9270842
26,http://www.wikidata.org/entity/Q74821,https://en.wikipedia.org/wiki/Ville_de_Bordeaux,en,9270842
27,http://www.wikidata.org/entity/Q74821,https://es.wikipedia.org/wiki/Ville_de_Bordeaux,es,9270842
28,http://www.wikidata.org/entity/Q74821,https://fa.wikipedia.org/wiki/%D9%88%DB%8C%D9%84_%D8%AF_%D8%A8%D9%88%D8%B1%D8%AF%D9%88,fa,9270842
29,http://www.wikidata.org/entity/Q74821,https://fr.wikipedia.org/wiki/Ville_de_Bordeaux,fr,9270842
30,http://www.wikidata.org/entity/Q74821,https://no.wikipedia.org/wiki/%C2%ABVille_de_Bordeaux%C2%BB,nb,9270842
31,http://www.wikidata.org/entity/Q75054,https://en.wikipedia.org/wiki/SS_Hestmanden,en,5377525
32,http://www.wikidata.org/entity/Q75054,https://nn.wikipedia.org/wiki/DS_%C2%ABHestmanden%C2%BB,nn,5377525
33,http://www.wikidata.org/entity/Q75054,https://no.wikipedia.org/wiki/DS_%C2%ABHestmanden%C2%BB,nb,5377525
34,http://www.wikidata.org/entity/Q80280,"https://bg.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF_%D0%A2%D1%80%D0%B0%D1%84%D0%B0%D0%BB%D0%B3%D0%B0%D1%80_(%D0%BA%D0%BE%D1%80%D0%B0%D0%B1,_1914)",bg,9692727
35,http://www.wikidata.org/entity/Q80280,https://de.wikipedia.org/wiki/SMS_Cap_Trafalgar,de,9692727
36,http://www.wikidata.org/entity/Q80280,https://en.wikipedia.org/wiki/SMS_Cap_Trafalgar,en,9692727
37,http://www.wikidata.org/entity/Q80280,https://fr.wikipedia.org/wiki/SMS_Cap_Trafalgar,fr,9692727
38,http://www.wikidata.org/entity/Q80280,https://hu.wikipedia.org/wiki/Cap_Trafalgar,hu,9692727
39,http://www.wikidata.org/entity/Q80280,https://it.wikipedia.org/wiki/SMS_Cap_Trafalgar,it,9692727
40,http://www.wikidata.org/entity/Q80280,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%83%E3%83%97%E3%83%BB%E3%83%88%E3%83%A9%E3%83%95%E3%82%A1%E3%83%AB%E3%82%AC%E3%83%BC_(%E5%AE%A2%E8%88%B9),ja,9692727
41,http://www.wikidata.org/entity/Q80280,https://pl.wikipedia.org/wiki/SMS_Cap_Trafalgar,pl,9692727
42,http://www.wikidata.org/entity/Q80280,https://ro.wikipedia.org/wiki/SMS_Cap_Trafalgar,ro,9692727
43,http://www.wikidata.org/entity/Q80280,https://ru.wikipedia.org/wiki/SMS_Cap_Trafalgar,ru,9692727
44,http://www.wikidata.org/entity/Q80280,"https://bg.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF_%D0%A2%D1%80%D0%B0%D1%84%D0%B0%D0%BB%D0%B3%D0%B0%D1%80_(%D0%BA%D0%BE%D1%80%D0%B0%D0%B1,_1914)",bg,9692727
45,http://www.wikidata.org/entity/Q80280,https://de.wikipedia.org/wiki/SMS_Cap_Trafalgar,de,9692727
46,http://www.wikidata.org/entity/Q80280,https://en.wikipedia.org/wiki/SMS_Cap_Trafalgar,en,9692727
47,http://www.wikidata.org/entity/Q80280,https://fr.wikipedia.org/wiki/SMS_Cap_Trafalgar,fr,9692727
48,http://www.wikidata.org/entity/Q80280,https://hu.wikipedia.org/wiki/Cap_Trafalgar,hu,9692727
49,http://www.wikidata.org/entity/Q80280,https://it.wikipedia.org/wiki/SMS_Cap_Trafalgar,it,9692727
50,http://www.wikidata.org/entity/Q80280,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%83%E3%83%97%E3%83%BB%E3%83%88%E3%83%A9%E3%83%95%E3%82%A1%E3%83%AB%E3%82%AC%E3%83%BC_(%E5%AE%A2%E8%88%B9),ja,9692727
51,http://www.wikidata.org/entity/Q80280,https://pl.wikipedia.org/wiki/SMS_Cap_Trafalgar,pl,9692727
52,http://www.wikidata.org/entity/Q80280,https://ro.wikipedia.org/wiki/SMS_Cap_Trafalgar,ro,9692727
53,http://www.wikidata.org/entity/Q80280,https://ru.wikipedia.org/wiki/SMS_Cap_Trafalgar,ru,9692727
54,http://www.wikidata.org/entity/Q80280,"https://bg.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF_%D0%A2%D1%80%D0%B0%D1%84%D0%B0%D0%BB%D0%B3%D0%B0%D1%80_(%D0%BA%D0%BE%D1%80%D0%B0%D0%B1,_1914)",bg,9692727
55,http://www.wikidata.org/entity/Q80280,https://de.wikipedia.org/wiki/SMS_Cap_Trafalgar,de,9692727
56,http://www.wikidata.org/entity/Q80280,https://en.wikipedia.org/wiki/SMS_Cap_Trafalgar,en,9692727
57,http://www.wikidata.org/entity/Q80280,https://fr.wikipedia.org/wiki/SMS_Cap_Trafalgar,fr,9692727
58,http://www.wikidata.org/entity/Q80280,https://hu.wikipedia.org/wiki/Cap_Trafalgar,hu,9692727
59,http://www.wikidata.org/entity/Q80280,https://it.wikipedia.org/wiki/SMS_Cap_Trafalgar,it,9692727
60,http://www.wikidata.org/entity/Q80280,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%83%E3%83%97%E3%83%BB%E3%83%88%E3%83%A9%E3%83%95%E3%82%A1%E3%83%AB%E3%82%AC%E3%83%BC_(%E5%AE%A2%E8%88%B9),ja,9692727
61,http://www.wikidata.org/entity/Q80280,https://pl.wikipedia.org/wiki/SMS_Cap_Trafalgar,pl,9692727
62,http://www.wikidata.org/entity/Q80280,https://ro.wikipedia.org/wiki/SMS_Cap_Trafalgar,ro,9692727
63,http://www.wikidata.org/entity/Q80280,https://ru.wikipedia.org/wiki/SMS_Cap_Trafalgar,ru,9692727
64,http://www.wikidata.org/entity/Q83257,https://ar.wikipedia.org/wiki/%D8%B3%D9%81%D9%8A%D9%86%D8%A9_%D8%A3%D9%84%D9%88%D8%B1_%D8%A3%D9%88%D9%81_%D8%B0%D9%8A_%D8%B3%D9%8A%D8%B2,ar,9383948
65,http://www.wikidata.org/entity/Q83257,https://ba.wikipedia.org/wiki/Allure_of_the_Seas,ba,9383948
66,http://www.wikidata.org/entity/Q83257,https://da.wikipedia.org/wiki/M/S_Allure_of_the_Seas,da,9383948
67,http://www.wikidata.org/entity/Q83257,https://de.wikipedia.org/wiki/Allure_of_the_Seas,de,9383948
68,http://www.wikidata.org/entity/Q83257,https://en.wikipedia.org/wiki/Allure_of_the_Seas,en,9383948
69,http://www.wikidata.org/entity/Q83257,https://es.wikipedia.org/wiki/MS_Allure_of_the_Seas,es,9383948
70,http://www.wikidata.org/entity/Q83257,https://et.wikipedia.org/wiki/Allure_of_the_Seas,et,9383948
71,http://www.wikidata.org/entity/Q83257,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%A7%D9%84%D9%88%D8%B1_%D8%A2%D9%88_%D8%AF_%D8%B3%DB%8C%D8%B2,fa,9383948
72,http://www.wikidata.org/entity/Q83257,https://fi.wikipedia.org/wiki/M/S_Allure_of_the_Seas,fi,9383948
73,http://www.wikidata.org/entity/Q83257,https://fr.wikipedia.org/wiki/Allure_of_the_Seas,fr,9383948
74,http://www.wikidata.org/entity/Q83257,https://he.wikipedia.org/wiki/Allure_Of_The_Seas,he,9383948
75,http://www.wikidata.org/entity/Q83257,https://hr.wikipedia.org/wiki/MS_Allure_of_the_Seas,hr,9383948
76,http://www.wikidata.org/entity/Q83257,https://hu.wikipedia.org/wiki/MS_Allure_of_the_Seas,hu,9383948
77,http://www.wikidata.org/entity/Q83257,https://id.wikipedia.org/wiki/MS_Allure_of_the_Seas,id,9383948
78,http://www.wikidata.org/entity/Q83257,https://it.wikipedia.org/wiki/Allure_of_the_Seas,it,9383948
79,http://www.wikidata.org/entity/Q83257,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%83%BC%E3%82%A2%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%B6%E3%83%BB%E3%82%B7%E3%83%BC%E3%82%BA,ja,9383948
80,http://www.wikidata.org/entity/Q83257,https://kk.wikipedia.org/wiki/Allure_of_the_Seas,kk,9383948
81,http://www.wikidata.org/entity/Q83257,https://lt.wikipedia.org/wiki/MS_Allure_of_the_Seas,lt,9383948
82,http://www.wikidata.org/entity/Q83257,https://ml.wikipedia.org/wiki/%E0%B4%85%E0%B4%B2%E0%B5%8D%E0%B4%B2%E0%B5%81%E0%B5%BC_%E0%B4%93%E0%B4%AB%E0%B5%8D_%E0%B4%A6%E0%B4%BF_%E0%B4%B8%E0%B5%80,ml,9383948
83,http://www.wikidata.org/entity/Q83257,"https://nl.wikipedia.org/wiki/Allure_of_the_Seas_(schip,_2010)",nl,9383948
84,http://www.wikidata.org/entity/Q83257,https://nn.wikipedia.org/wiki/MS_%C2%ABAllure_of_the_Seas%C2%BB,nn,9383948
85,http://www.wikidata.org/entity/Q83257,https://no.wikipedia.org/wiki/MS_%C2%ABAllure_of_the_Seas%C2%BB,nb,9383948
86,http://www.wikidata.org/entity/Q83257,https://pl.wikipedia.org/wiki/MS_Allure_of_the_Seas,pl,9383948
87,http://www.wikidata.org/entity/Q83257,https://pt.wikipedia.org/wiki/Allure_of_the_Seas,pt,9383948
88,http://www.wikidata.org/entity/Q83257,https://ro.wikipedia.org/wiki/MS_Allure_of_the_Seas,ro,9383948
89,http://www.wikidata.org/entity/Q83257,https://ru.wikipedia.org/wiki/Allure_of_the_Seas,ru,9383948
90,http://www.wikidata.org/entity/Q83257,https://sco.wikipedia.org/wiki/MS_Allure_of_the_Seas,sco,9383948
91,http://www.wikidata.org/entity/Q83257,https://sh.wikipedia.org/wiki/MS_Allure_of_the_Seas,sh,9383948
92,http://www.wikidata.org/entity/Q83257,https://sk.wikipedia.org/wiki/MS_Allure_of_the_Seas,sk,9383948
93,http://www.wikidata.org/entity/Q83257,https://sr.wikipedia.org/wiki/MS_Allure_of_the_Seas,sr,9383948
94,http://www.wikidata.org/entity/Q83257,https://sv.wikipedia.org/wiki/M/S_Allure_of_the_Seas,sv,9383948
95,http://www.wikidata.org/entity/Q83257,https://ta.wikipedia.org/wiki/%E0%AE%8E%E0%AE%AE%E0%AF%8D_%E0%AE%8E%E0%AE%B8%E0%AF%8D_%E0%AE%85%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AF%82%E0%AE%B0%E0%AF%8D_%E0%AE%92%E0%AE%AA%E0%AF%8D_%E0%AE%A4_%E0%AE%9A%E0%AF%80%E0%AE%B8%E0%AF%8D,ta,9383948
96,http://www.wikidata.org/entity/Q83257,https://tr.wikipedia.org/wiki/Allure_of_the_Seas,tr,9383948
97,http://www.wikidata.org/entity/Q83257,https://uk.wikipedia.org/wiki/%D0%A1%D0%BF%D0%BE%D0%BA%D1%83%D1%81%D0%B0_%D0%BC%D0%BE%D1%80%D1%96%D0%B2_(%D1%81%D1%83%D0%B4%D0%BD%D0%BE),uk,9383948
98,http://www.wikidata.org/entity/Q83257,https://zh.wikipedia.org/wiki/%E6%B5%B7%E6%B4%8B%E9%AD%85%E9%BA%97%E8%99%9F,zh,9383948
99,http://www.wikidata.org/entity/Q83257,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1%E0%B9%80%E0%B8%AD%E0%B8%AA_%E0%B8%AD%E0%B8%B1%E0%B8%A5%E0%B8%A5%E0%B8%B1%E0%B8%A7%E0%B8%A3%E0%B9%8C%E0%B8%AD%E0%B8%AD%E0%B8%9F%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%8B%E0%B8%B5%E0%B8%AA%E0%B9%8C,th,9383948
100,http://www.wikidata.org/entity/Q83257,https://my.wikipedia.org/wiki/%E1%80%8A%E1%80%BE%E1%80%AD%E1%80%AF%E1%80%B7%E1%80%86%E1%80%B1%E1%80%AC%E1%80%84%E1%80%BA%E1%80%94%E1%80%B1%E1%80%9E%E1%80%B1%E1%80%AC_%E1%80%95%E1%80%84%E1%80%BA%E1%80%9C%E1%80%9A%E1%80%BA%E1%80%99%E1%80%BB%E1%80%AC%E1%80%B8,my,9383948
101,http://www.wikidata.org/entity/Q94727,https://da.wikipedia.org/wiki/MS_Baltic_Queen,da,9443255
102,http://www.wikidata.org/entity/Q94727,https://de.wikipedia.org/wiki/Baltic_Queen,de,9443255
103,http://www.wikidata.org/entity/Q94727,https://en.wikipedia.org/wiki/MS_Baltic_Queen,en,9443255
104,http://www.wikidata.org/entity/Q94727,https://et.wikipedia.org/wiki/Baltic_Queen,et,9443255
105,http://www.wikidata.org/entity/Q94727,https://fi.wikipedia.org/wiki/M/S_Baltic_Queen,fi,9443255
106,http://www.wikidata.org/entity/Q94727,https://it.wikipedia.org/wiki/Baltic_Queen,it,9443255
107,http://www.wikidata.org/entity/Q94727,https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%AB%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF%E3%83%BB%E3%82%AF%E3%82%A4%E3%83%BC%E3%83%B3,ja,9443255
108,http://www.wikidata.org/entity/Q94727,https://ru.wikipedia.org/wiki/Baltic_Queen,ru,9443255
109,http://www.wikidata.org/entity/Q94727,https://sv.wikipedia.org/wiki/M/S_Baltic_Queen,sv,9443255
110,http://www.wikidata.org/entity/Q94727,https://fr.wikipedia.org/wiki/Baltic_Queen,fr,9443255
111,http://www.wikidata.org/entity/Q102382,https://de.wikipedia.org/wiki/J.R._Tolkien_(Schiff),de,7017064
112,http://www.wikidata.org/entity/Q102382,https://en.wikipedia.org/wiki/J.R._Tolkien_(schooner),en,7017064
113,http://www.wikidata.org/entity/Q102382,https://es.wikipedia.org/wiki/J._R._Tolkien,es,7017064
