num_imo,nom_navire,num_immat_francais,num_mmsi,chantier_construction,annee_construction,puissance_administrative,puissance_propulsive,longueur_hors_tout,jauge_londres,armateur_exploitant,materiau_coque,date_francisation,type_carburant,quartier,genre_navigation,date_debut_pa_commerce,date_fin_pa_commerce,date_debut_pa_peche_culture,date_fin_pa_peche_culture
,YOUPI ONE,104641,227062810,,1971,37,37,"6,03","2,32",,PLASTIQUE,2000-10-25,ESSENCE,TOULON,Petite pêche,,,2018-01-01,
,TOINOU,142359,227157520,,1972,147,147,"7,87","4,71",,PLASTIQUE,2002-08-13,GAZOLE,SETE,Petite pêche,,,2018-01-01,
,LADY ALASKA,149253,227156540,NORVEGE,1970,129,129,"7,1","1,36",,POLYESTER EPOXY,2011-04-04,GAZOLE,TOULON,Petite pêche,,,2018-09-01,
,CHEYENNE,153384,,,1968,147,147,"7,9","4,23",,PLASTIQUE,2016-07-20,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,ELSAJO,153893,227749480,,1967,74,74,"9,77","3,34",,PLASTIQUE,2004-06-11,GAZOLE,SETE,Petite pêche,,,2018-01-01,
,YAGA,160084,,,1972,29,29,"5,8","1,01",,PLASTIQUE,1972-11-16,ESSENCE,VANNES,Petite pêche,,,2018-01-01,
,KIKKO,160929,,,1971,44,44,"6,1","1,26",,PLASTIQUE,2007-11-07,ESSENCE,SETE,,,,2018-01-01,
,ST FRANCOIS,164063,,,1963,59,59,"6,4","3,98",,PLASTIQUE,1981-04-24,ESSENCE,BASTIA,,,,2018-01-01,
,L'ENGOULEVENT,174694,,,1973,25,25,"8,34","5,3",,BOIS,1973-05-15,GAZOLE,BORDEAUX,Petite pêche,,,2018-01-01,
,JOSEPHINE,180285,227105420,CN TRAPANI CASSIS 13,1973,41,41,"7,6","3,45",,BOIS,2010-05-31,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,SAINT DENIS,181232,227218680,ETS MIGNON,1973,62,62,"9,7","6,83",,BOIS,2012-12-06,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,LEO LISA,197011,227929980,,1968,110,110,"7,1","1,77",,POLYESTER EPOXY,1968-08-21,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,MARCELLE,212109,227361490,,1945,,,"9,85",,,BOIS,1973-03-19,INCONNU,ILE D'OLERON,Plaisance NC,2018-01-01,,,
,SERINE II,214468,227733760,CHRIS-CRAFT,1968,240,240,"9,45","8,07",,PLASTIQUE,2008-03-17,GAZOLE,MARSEILLE,Petite pêche,,,2018-01-01,
,VICTORIA,335850,227205720,OCQUETEAU,1971,59,59,"8,53","3,9",,POLYESTER EPOXY,2014-11-14,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,GILBERT,350449,227154020,CN ALBIN MARIN SUEDE 1976,1976,66,66,"7,55","2,32",,POLYESTER EPOXY,2010-12-01,GAZOLE,MARSEILLE,Petite pêche,,,2018-01-01,
,FOX,374073,,,1973,29,29,"5,7","1,04",,POLYESTER EPOXY,2017-08-22,ESSENCE,SETE,Petite pêche,,,2018-06-19,
,PETIT PAGAN,385523,,,1976,22,22,"6,06","2,32",,BOIS,1976-12-28,GAZOLE,BREST,Petite pêche,,,2018-10-19,
,SABRINA-FRANCK,401420,,CHANTIER NAVAL ALLEMAND,1999,37,37,"7,9","1,15",,PLASTIQUE,2015-11-02,ESSENCE,SETE,Petite pêche,,,2019-10-14,
,MATEO,404530,347014910,KEYSTONE YACHT,1974,114,114,"5,85","0,58",,PLASTIQUE,2007-05-30,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,LOURAGAN,408188,,INCONNU,1975,2,2,"5,74","0,6",,PLASTIQUE,1975-10-13,ESSENCE,PORT VENDRES,,,,2018-07-12,
,WAR-RAOK,411349,,CHANTIER SMAP NEPTUNE DOMAZAN,1978,56,56,6,"1,29",,PLASTIQUE,2014-01-17,GAZOLE,LE GUILVINEC,Petite pêche,,,2018-01-01,
,SAN FRANCESCU,420827,227806660,,1977,66,66,"7,5","3,15",,BOIS,2010-09-16,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,PTIT MANU,422825,227743960,,1978,102,102,"8,55",2,,PLASTIQUE,1978-04-04,GAZOLE,PORT VENDRES,Petite pêche,,,2018-01-01,
,TARZH AN HEOL,430269,227691760,,1964,59,59,"11,5","17,19",,BOIS,1965-05-20,GAZOLE,BREST,Petite pêche,,,2018-01-01,
,BIBAS,435675,,,1978,11,11,"5,5","0,51",,PLASTIQUE,,ESSENCE,SAINT DENIS DE LA REUNION,Petite pêche,,,2018-01-01,
,VARUNA,435849,,,1980,11,11,"5,55","0,49",,PLASTIQUE,2006-07-25,ESSENCE,SAINT DENIS DE LA REUNION,Petite pêche,,,2018-01-01,2019-09-16
,LOU GAETAN,436667,,,1979,55,55,"8,3","2,76",,POLYESTER EPOXY,,ESSENCE,SETE,Conchyl.Pure,,,2018-03-06,
,CHRIS,436693,,,1972,147,147,"7,65","2,19",,PLASTIQUE,,ESSENCE,SETE,C.M.PetitePêche,,,2018-01-01,
,BEL MER,440388,,,1979,44,44,"5,65",2,,PLASTIQUE,1979-08-16,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,L'IMAN,518611,329003710,USA,1979,200,200,10,"11,1",,PLASTIQUE,2004-05-04,GAZOLE,POINTE A PITRE,Plaisance NC,2018-01-01,,,
,AURELIA,520356,,ACM,1980,55,55,"6,1","0,95",,PLASTIQUE,2005-12-28,GAZOLE,NICE,Petite pêche,,,2018-01-01,
,ANTONY-MARION,528826,,,1981,37,37,"5,2","1,14",,PLASTIQUE,1981-06-12,ESSENCE,SETE,Petite pêche,,,2019-10-21,
,ARGONAUTES,540694,227739650,,1981,63,63,"8,5","4,19",,PLASTIQUE,1981-11-03,GAZOLE,MARSEILLE,Petite pêche,,,2018-01-01,
,D-J-A,541016,,,1981,15,15,"3,69","0,29",,BOIS,2002-01-15,ESSENCE,MARTIGUES,,,,2018-01-01,
,BOF-UN,541534,,,1959,3,3,"5,34","0,38",,BOIS MOULE,2013-10-10,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
,KEVIN,544391,,,1981,62,62,"5,35","0,84",,PLASTIQUE,2001-03-08,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-02-06,
,LAURATOM,551434,,BAUDIGNON  SETE 34,1981,7,7,"6,05","3,1",,PLASTIQUE,2001-05-25,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,SEA FOOD,552815,227339850,,1979,29,29,"5,04","1,36",,PLASTIQUE,1981-01-01,ESSENCE,TOULON,Petite pêche,,,2019-05-10,
,LOVE SHAKE,553047,,INCONNU,1981,85,85,"5,7",,,PLASTIQUE,1987-04-09,GAZOLE,SETE,Conchyl.Pure,,,2018-01-01,
,BIMBO,556521,,,1982,55,55,7,,,METAL,1982-12-14,ESSENCE,MARENNES,Conchyl.Pure,,,2018-01-01,
