wikidataUrl,item,wikipediaUrl,wikipediaLang,imo
0,http://www.wikidata.org/entity/Q948738,https://en.wikipedia.org/wiki/James_Craig_(barque),en,8676788
1,http://www.wikidata.org/entity/Q948738,https://fa.wikipedia.org/wiki/%D8%AC%DB%8C%D9%85%D8%B2_%DA%A9%D8%B1%D8%A7%DA%AF_(%DA%A9%D8%B1%D8%AC%DB%8C),fa,8676788
2,http://www.wikidata.org/entity/Q948738,https://fr.wikipedia.org/wiki/James_Craig_(voilier),fr,8676788
3,http://www.wikidata.org/entity/Q948738,"https://nl.wikipedia.org/wiki/James_Craig_(schip,_1874)",nl,8676788
4,http://www.wikidata.org/entity/Q953860,https://ca.wikipedia.org/wiki/Juan_Sebasti%C3%A1n_Elcano_(A-71),ca,8642567
5,http://www.wikidata.org/entity/Q953860,https://ca.wikipedia.org/wiki/Juan_Sebasti%C3%A1n_Elcano_(A-71),ca,8642567
6,http://www.wikidata.org/entity/Q953860,https://ca.wikipedia.org/wiki/Juan_Sebasti%C3%A1n_Elcano_(A-71),ca,8642567
7,http://www.wikidata.org/entity/Q929326,"https://de.wikipedia.org/wiki/Volendam_(Schiff,_1999)",de,9156515
8,http://www.wikidata.org/entity/Q929326,https://en.wikipedia.org/wiki/MS_Volendam,en,9156515
9,http://www.wikidata.org/entity/Q929326,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D9%88%D9%88%D9%84%D9%86%D8%AF%D9%85,fa,9156515
10,http://www.wikidata.org/entity/Q929326,https://fr.wikipedia.org/wiki/MS_Volendam,fr,9156515
11,http://www.wikidata.org/entity/Q929326,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AC%E3%83%B3%E3%83%80%E3%83%A0_(%E6%97%85%E5%AE%A2%E8%88%B9),ja,9156515
12,http://www.wikidata.org/entity/Q929326,"https://nl.wikipedia.org/wiki/Volendam_(schip,_1999)",nl,9156515
13,http://www.wikidata.org/entity/Q929326,https://es.wikipedia.org/wiki/MS_Volendam,es,9156515
14,http://www.wikidata.org/entity/Q929326,"https://de.wikipedia.org/wiki/Volendam_(Schiff,_1999)",de,9156515
15,http://www.wikidata.org/entity/Q929326,https://en.wikipedia.org/wiki/MS_Volendam,en,9156515
16,http://www.wikidata.org/entity/Q929326,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D9%88%D9%88%D9%84%D9%86%D8%AF%D9%85,fa,9156515
17,http://www.wikidata.org/entity/Q929326,https://fr.wikipedia.org/wiki/MS_Volendam,fr,9156515
18,http://www.wikidata.org/entity/Q929326,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AC%E3%83%B3%E3%83%80%E3%83%A0_(%E6%97%85%E5%AE%A2%E8%88%B9),ja,9156515
19,http://www.wikidata.org/entity/Q929326,"https://nl.wikipedia.org/wiki/Volendam_(schip,_1999)",nl,9156515
20,http://www.wikidata.org/entity/Q929326,https://es.wikipedia.org/wiki/MS_Volendam,es,9156515
21,http://www.wikidata.org/entity/Q930140,https://de.wikipedia.org/wiki/HMS_Gloucester_(D96),de,4907086
22,http://www.wikidata.org/entity/Q930140,https://en.wikipedia.org/wiki/HMS_Gloucester_(D96),en,4907086
23,http://www.wikidata.org/entity/Q930140,https://es.wikipedia.org/wiki/HMS_Gloucester_(D96),es,4907086
24,http://www.wikidata.org/entity/Q930140,https://fa.wikipedia.org/wiki/%D8%A7%DA%86%E2%80%8C%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%DA%AF%D9%84%D8%A7%D8%B3%D8%AA%D8%B1_(%D8%AF%DB%8C%DB%B9%DB%B6),fa,4907086
25,http://www.wikidata.org/entity/Q930140,https://fi.wikipedia.org/wiki/HMS_Gloucester_(D96),fi,4907086
26,http://www.wikidata.org/entity/Q930140,https://fr.wikipedia.org/wiki/HMS_Gloucester_(D96),fr,4907086
27,http://www.wikidata.org/entity/Q930140,https://it.wikipedia.org/wiki/HMS_Gloucester_(D96),it,4907086
28,http://www.wikidata.org/entity/Q930140,https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AD%E3%82%B9%E3%82%BF%E3%83%BC_(%E9%A7%86%E9%80%90%E8%89%A6),ja,4907086
29,http://www.wikidata.org/entity/Q930500,https://de.wikipedia.org/wiki/Zuiderdam,de,9221279
30,http://www.wikidata.org/entity/Q930500,https://en.wikipedia.org/wiki/MS_Zuiderdam,en,9221279
31,http://www.wikidata.org/entity/Q930500,https://es.wikipedia.org/wiki/MS_Zuiderdam,es,9221279
32,http://www.wikidata.org/entity/Q930500,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%B2%D9%88%D8%A6%DB%8C%D8%AF%D8%B1%D8%AF%D9%85,fa,9221279
33,http://www.wikidata.org/entity/Q930500,https://fr.wikipedia.org/wiki/MS_Zuiderdam,fr,9221279
34,http://www.wikidata.org/entity/Q930500,https://it.wikipedia.org/wiki/Zuiderdam,it,9221279
35,http://www.wikidata.org/entity/Q930500,https://ja.wikipedia.org/wiki/%E3%82%B6%E3%82%A4%E3%83%87%E3%83%AB%E3%83%80%E3%83%A0,ja,9221279
36,http://www.wikidata.org/entity/Q930500,"https://nl.wikipedia.org/wiki/Zuiderdam_(schip,_2002)",nl,9221279
37,http://www.wikidata.org/entity/Q930500,https://sv.wikipedia.org/wiki/M/S_Zuiderdam,sv,9221279
38,http://www.wikidata.org/entity/Q930500,https://de.wikipedia.org/wiki/Zuiderdam,de,9221279
39,http://www.wikidata.org/entity/Q930500,https://en.wikipedia.org/wiki/MS_Zuiderdam,en,9221279
40,http://www.wikidata.org/entity/Q930500,https://es.wikipedia.org/wiki/MS_Zuiderdam,es,9221279
41,http://www.wikidata.org/entity/Q930500,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%B2%D9%88%D8%A6%DB%8C%D8%AF%D8%B1%D8%AF%D9%85,fa,9221279
42,http://www.wikidata.org/entity/Q930500,https://fr.wikipedia.org/wiki/MS_Zuiderdam,fr,9221279
43,http://www.wikidata.org/entity/Q930500,https://it.wikipedia.org/wiki/Zuiderdam,it,9221279
44,http://www.wikidata.org/entity/Q930500,https://ja.wikipedia.org/wiki/%E3%82%B6%E3%82%A4%E3%83%87%E3%83%AB%E3%83%80%E3%83%A0,ja,9221279
45,http://www.wikidata.org/entity/Q930500,"https://nl.wikipedia.org/wiki/Zuiderdam_(schip,_2002)",nl,9221279
46,http://www.wikidata.org/entity/Q930500,https://sv.wikipedia.org/wiki/M/S_Zuiderdam,sv,9221279
47,http://www.wikidata.org/entity/Q930569,https://de.wikipedia.org/wiki/Balder_(Schiff),de,7710226
48,http://www.wikidata.org/entity/Q930569,https://en.wikipedia.org/wiki/DCV_Balder,en,7710226
49,http://www.wikidata.org/entity/Q930569,https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%E2%80%8C%D8%B3%DB%8C%E2%80%8C%D9%88%DB%8C_%D8%A8%D8%A7%D9%84%D8%AF%D8%B1,fa,7710226
50,http://www.wikidata.org/entity/Q930569,https://fr.wikipedia.org/wiki/DCV_Balder,fr,7710226
51,http://www.wikidata.org/entity/Q930569,"https://nl.wikipedia.org/wiki/Balder_(schip,_1978)",nl,7710226
52,http://www.wikidata.org/entity/Q930569,https://pl.wikipedia.org/wiki/DCV_Balder,pl,7710226
53,http://www.wikidata.org/entity/Q931364,https://de.wikipedia.org/wiki/Borealis_(Schiff),de,9122552
54,http://www.wikidata.org/entity/Q931364,https://en.wikipedia.org/wiki/MS_Borealis,en,9122552
55,http://www.wikidata.org/entity/Q931364,https://et.wikipedia.org/wiki/Rotterdam_(1997),et,9122552
56,http://www.wikidata.org/entity/Q931364,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%B1%D9%88%D8%AA%D8%B1%D8%AF%D8%A7%D9%85,fa,9122552
57,http://www.wikidata.org/entity/Q931364,https://fr.wikipedia.org/wiki/MS_Rotterdam,fr,9122552
58,http://www.wikidata.org/entity/Q931364,"https://nl.wikipedia.org/wiki/Rotterdam_(schip,_1997)",nl,9122552
59,http://www.wikidata.org/entity/Q933950,https://de.wikipedia.org/wiki/Carnival_Glory,de,9198367
60,http://www.wikidata.org/entity/Q933950,https://en.wikipedia.org/wiki/Carnival_Glory,en,9198367
61,http://www.wikidata.org/entity/Q933950,https://es.wikipedia.org/wiki/Carnival_Glory,es,9198367
62,http://www.wikidata.org/entity/Q933950,https://fa.wikipedia.org/wiki/%DA%A9%D8%A7%D8%B1%D9%86%D8%A7%D9%88%D8%A7%D9%84_%DA%AF%D9%84%D9%88%D8%B1%DB%8C,fa,9198367
63,http://www.wikidata.org/entity/Q933950,https://fr.wikipedia.org/wiki/Carnival_Glory,fr,9198367
64,http://www.wikidata.org/entity/Q933950,https://it.wikipedia.org/wiki/Carnival_Glory,it,9198367
65,http://www.wikidata.org/entity/Q933950,"https://nl.wikipedia.org/wiki/Carnival_Glory_(schip,_2003)",nl,9198367
66,http://www.wikidata.org/entity/Q935964,https://de.wikipedia.org/wiki/Isle_of_Innisfree,de,8908466
67,http://www.wikidata.org/entity/Q935964,https://en.wikipedia.org/wiki/MS_Calais_Seaways,en,8908466
68,http://www.wikidata.org/entity/Q935964,https://fr.wikipedia.org/wiki/MS_Calais_Seaways,fr,8908466
69,http://www.wikidata.org/entity/Q935964,"https://nl.wikipedia.org/wiki/Isle_of_Innisfree_(schip,_1992)",nl,8908466
70,http://www.wikidata.org/entity/Q939340,https://de.wikipedia.org/wiki/Freewinds,de,6810811
71,http://www.wikidata.org/entity/Q939340,https://en.wikipedia.org/wiki/Freewinds,en,6810811
72,http://www.wikidata.org/entity/Q939340,https://fr.wikipedia.org/wiki/Freewinds,fr,6810811
73,http://www.wikidata.org/entity/Q939340,https://nl.wikipedia.org/wiki/Freewinds,nl,6810811
74,http://www.wikidata.org/entity/Q939340,https://zh.wikipedia.org/wiki/%E8%87%AA%E7%94%B1%E9%A2%A8,zh,6810811
