imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
6602898,OCEAN MAJESTY,Passenger ship,2020.0,EIV (31.73 gCO₂/t·nm),Madeira,,,01/07/2021,30/06/2022,,Bureau Veritas Certification France,COFRAC,1 Place Zaha Hadid,92400 COURBEVOIE,4-0076,France,Yes,,,,951.37,,2985.13,1505.53,267.5,367.12,844.98,,,,488.87,132.07,,,,448.73,,414.4,,,,1407.97,,,488.87,,,,,,,,,,,,,,,
6703343,EQUALITY,Other ship types,2020.0,EIV (57.84 gCO₂/t·nm),Beirut,,,30/06/2021,30/06/2022,,Dromon Bureau of Shipping,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,1128,Greece,Yes,,,,225.7,,706.78,0.0,401.05,286.49,19.24,,,,603.0,40.75,67.66,,54.28,,,127.62,211.88,,169.97,,,,603.0,,,,,,,,,,,,,,,
7037806,IONIAN STAR,Ro-pax ship,2020.0,EIV (19.4 gCO₂/t·nm),,,,31/03/2021,30/06/2022,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,1543.32,,4947.88,3713.13,0.0,0.0,1234.6,2968.88,1979.0,,995.0,103.93,,,,20.43,4.32,333.19,,,,65.5,13.85,,995.0,,,,,,,,,,,,,,,
7043843,TALOS,Ro-ro ship,2020.0,EIV (48.71 gCO₂/t·nm),Piraeus,Piraeus,,16/06/2021,30/06/2022,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,Yes,,2625.33,,8416.81,7966.37,0.0,0.0,450.44,,,,3109.2,64.28,168.74,,,,,206.09,540.98,,,,,,3109.2,,,,,,,,,,,,,,,
7128332,SEA WIND,Ro-pax ship,2020.0,EIV (9.29 gCO₂/t·nm),Tallinn,Tallinn,IB,26/04/2021,30/06/2022,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,4152.78,,13137.92,11259.78,0.0,0.0,1836.65,2911.8,8348.0,,3619.0,86.64,,,,487.93,45.43,274.09,,,,1540.58,143.45,,3619.0,,,,,,,,,,,,,,,
7128887,ST DAMIAN,Ro-pax ship,2020.0,EIV (27 gCO₂/t·nm),,,,31/03/2021,30/06/2022,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,685.93,,2199.09,1618.61,0.0,0.0,580.3,1539.36,659.73,,626.0,91.15,,,,25.03,7.69,292.24,,,,80.26,24.66,,626.0,,,,,,,,,,,,,,,
7205910,SARDINIA REGINA,Ro-pax ship,2020.0,EIV (10.78 gCO₂/t·nm),Genova,,,22/11/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,4730.48,,14978.79,12495.91,0.0,0.0,2358.34,748.95,14229.84,,2714.67,123.22,,,,22.6,271.51,390.17,,,,71.57,859.71,,2714.67,,,,,,,,,,,,,,,
7224459,RIGEL I,Ro-pax ship,2020.0,EIV (155.7 gCO₂/t·nm),Limassol,Republic of Panama,,25/05/2021,30/06/2022,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,1478.82,,4642.83,4309.14,0.0,0.0,333.81,1245.96,3396.87,,878.12,110.82,,,,226.32,377.15,347.93,,,,710.56,1184.09,,878.12,,,,,,,,,,,,,,,
7226952,FJARDVAGEN,Ro-ro ship,2020.0,EIV (43 gCO₂/t·nm),Mariehamn,Mariehamn,IA,22/06/2021,30/06/2022,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,1675.0,,5370.05,4617.0,0.0,0.0,753.0,,,,2637.0,48.75,86.35,,,,,156.3,276.84,,,,,,2637.0,,,,,,,,,,,,,,,
7230599,MARKO POLO,Ro-pax ship,2020.0,EIV (45 gCO₂/t·nm),Rijeka,,,07/03/2021,30/06/2022,,CROATIAN REGISTER OF SHIPPING,Croatian Accreditation Agency,Marasoviceva 67,21000 SPLIT,9568,Croatia,,Yes,,,2690.22,,8624.85,6435.75,0.0,0.0,2189.1,6435.76,6435.76,,2042.0,107.6,,,,3.76,0.66,344.97,,,,12.06,2.12,,2042.0,,,,,,,,,,,,,,,
7304314,ALBATROS,Passenger ship,2020.0,Not Applicable,Nassau,,,19/04/2021,30/06/2022,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,,,1462.78,,4689.67,0.0,0.0,4628.23,61.46,,,,700.03,140.6,,,,372.94,,450.75,,,,1195.63,,,700.03,,,,,,,,,,,,,,,
7305253,CORSICA VICTORIA,Ro-pax ship,2020.0,EIV (10.75 gCO₂/t·nm),Genova,,,22/11/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,4493.22,,14194.7,12665.46,0.0,0.0,1389.09,851.66,13343.03,,2942.5,112.29,,,,20.34,265.8,354.74,,,,64.27,839.68,,2942.5,,,,,,,,,,,,,,,
7310507,FIDELITY,Other ship types,2020.0,EIV (31.13 gCO₂/t·nm),Beirut,,,30/06/2021,30/06/2022,,Dromon Bureau of Shipping,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,1128,Greece,Yes,,,,992.1,,3113.36,0.0,1639.63,1420.19,53.54,,,,1642.0,47.82,91.44,,72.75,,,150.06,286.95,,228.31,,,,1642.0,,,,,,,,,,,,,,,
7325095,LAMPEDUSA,Ro-pax ship,2020.0,EIV (35.34 gCO₂/t·nm),Palermo,Palermo,,29/06/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,2850.41,,9138.41,6134.64,0.0,0.0,3003.76,84.95,9053.45,,2335.4,104.82,,,,19.72,197.19,336.04,,,,63.23,632.21,,2335.4,,,,,,,,,,,,,,,
7326893,MAWASHI EXPRESS,Other ship types,2020.0,EIV (8.86 gCO₂/t·nm),Panama,,,08/11/2021,30/06/2022,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
7346221,SUPERFERRY II,Ro-pax ship,2020.0,EIV (44.89 gCO₂/t·nm),PIRAEUS 9939,RAFINA,,26/04/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,5192.43,,16262.79,16262.79,0.0,0.0,0.0,2005.08,14257.71,,2526.5,131.24,,,,1.27,1.27,411.05,,,,3.97,3.98,,2526.5,,,,,,,,,,,,,,,
7347548,PRINCE,Ro-pax ship,2020.0,EIV (196.79 gCO₂/t·nm),Limassol,,,03/06/2021,30/06/2022,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"16, Efplias Str.
185 37 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,589.75,,1890.74,0.0,872.03,934.55,84.16,1890.74,1890.74,,351.88,122.66,,,,624.36,873.72,393.25,,,,2001.69,2801.14,,351.88,,,,,,,,,,,,,,,
7349039,CORSICA MARINA SECONDA,Ro-pax ship,2020.0,EIV (11.49 gCO₂/t·nm),Genova,,,30/09/2022,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,Yes,,2493.14,,7905.11,6153.72,867.81,679.27,182.6,429.75,6732.11,,2114.16,106.76,,,,24.48,271.65,338.5,,,,77.54,860.35,,2114.16,,,,,,,,,,,,,,,
7350090,MOBY NIKI,Ro-pax ship,2020.0,EIV (7.61 gCO₂/t·nm),Napoli,,,23/07/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,2457.14,,7758.0,6109.97,0.0,0.0,1648.03,6477.92,1280.07,,1777.66,105.74,,,,652.46,105.66,333.86,,,,2060.02,333.62,,1777.66,,,,,,,,,,,,,,,
7358755,MOBY KISS,Ro-pax ship,2020.0,EIV (7.31 gCO₂/t·nm),Napoli,,,23/07/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,1110.26,,3508.34,2243.47,0.0,0.0,1264.86,3301.33,207.01,,511.12,173.18,,,,417.61,33.69,547.24,,,,1319.62,106.45,,511.12,,,,,,,,,,,,,,,
7360605,MOBY VINCENT,Ro-pax ship,2020.0,EIV (10.47 gCO₂/t·nm),Napoli,,,23/07/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,2080.01,,6544.17,5046.42,0.0,0.0,1498.05,5660.71,883.46,,1030.98,135.37,,,,11878.33,1475.12,425.89,,,,37371.82,4641.05,,1030.98,,,,,,,,,,,,,,,
7360617,SARDINIA VERA,Ro-pax ship,2020.0,EIV (10.78 gCO₂/t·nm),Genova,,,28/12/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,826.3,,2625.97,1114.12,789.61,459.92,199.22,26.26,2599.72,,649.92,111.24,,,,35.1,251.81,353.53,,,,111.55,800.23,,649.92,,,,,,,,,,,,,,,
7360681,MOBY BABY TWO,Ro-pax ship,2020.0,EIV (18.19 gCO₂/t·nm),Napoli,,,23/07/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,2304.98,,7251.33,5844.7,0.0,0.0,1406.63,6439.18,812.15,,1673.54,111.93,,,,663.71,85.95,352.12,,,,2087.98,270.41,,1673.54,,,,,,,,,,,,,,,
7361312,MOBY DREA,Ro-pax ship,2020.0,EIV (5.93 gCO₂/t·nm),Napoli,,IC,23/07/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,5413.78,,16976.01,13757.15,0.0,0.0,3218.86,16789.26,186.76,,1133.55,246.95,,,,94.13,1.76,774.38,,,,295.16,5.51,,1133.55,,,,,,,,,,,,,,,
7361324,MOBY OTTA,Ro-pax ship,2020.0,EIV (5.56 gCO₂/t·nm),Napoli,,IC,23/07/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,7545.23,,23629.21,19882.05,0.0,0.0,3747.15,21148.14,2481.07,,2092.44,206.57,,,,325.3,25.01,646.92,,,,1018.72,78.32,,2092.44,,,,,,,,,,,,,,,
7382378,GIUSEPPE SA,Ro-pax ship,2020.0,EIV (13.3 gCO₂/t·nm),Cagliari,,,23/07/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,4836.48,,15183.51,13150.39,0.0,0.0,2033.12,2824.12,12359.39,,3473.06,104.33,,,,818.76,16.09,327.53,,,,2570.4,50.5,,3473.06,,,,,,,,,,,,,,,
7407324,ELEVATION,Other ship types,2020.0,EIV (42.41 gCO₂/t·nm),Beirut,,,15/07/2021,30/06/2022,,Dromon Bureau of Shipping,Hellenic Accreditation System,"2-4 Iakovou Dragatsi street, 18535",Piraeus,1128,Greece,Yes,,,,1884.75,,5876.72,0.0,4073.59,1762.26,40.88,,,,1746.0,78.64,51.71,,45.96,,,245.2,161.22,,143.32,,,,1746.0,,,,,,,,,,,,,,,
7422881,YEOMAN BANK,Bulk carrier,2020.0,EIV (8.54 gCO₂/t·nm),Monrovia,,,09/03/2021,30/06/2022,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,5207.54,,16463.39,14662.74,332.52,0.0,1468.11,,,,5739.42,103.65,6.02,,,,,327.69,19.04,,,,,,5739.42,,,,,,,,,,,,,,,
7426045,KEFALONIA,Ro-pax ship,2020.0,EIV (49.69 gCO₂/t·nm),Piraeus,"Poros, Cephalonia",,14/05/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,4275.45,,13518.02,11037.01,0.0,0.0,2481.01,744.57,12773.45,,3119.33,93.01,,,,30.65,356.18,294.08,,,,96.9,1126.15,,3119.33,,,,,,,,,,,,,,,
7504598,BADER III,Other ship types,2020.0,EIV (35.82 gCO₂/t·nm),,,,30/06/2021,30/06/2022,,VERIFAVIA SAS,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,1354.2,,4266.86,0.0,1990.31,2208.58,67.97,,,,746.2,154.57,89.27,,,,,487.01,281.27,,,,,,746.2,,,,,,,,,,,,,,,
7516773,GALAXY,Ro-pax ship,2020.0,EIV (215.79 gCO₂/t·nm),Limassol,,,03/06/2021,30/06/2022,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"16, Efplias Str.
185 37 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,1934.08,,6115.48,0.0,28.36,248.89,953.21,6115.47,6115.47,,1432.7,107.42,,,,1084.12,315.17,339.65,,,,3427.93,996.57,,1432.7,,,,,,,,,,,,,,,
7521651,EXPRESS PEGASUS,Ro-pax ship,2020.0,EIV (78.24 gCO₂/t·nm),Piraeus,,,11/05/2021,30/06/2022,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,1065.37,,3359.47,3145.05,0.0,0.0,214.42,1361.51,1997.97,,836.5,88.88,,,,304.86,373.43,280.26,,,,965.1,1174.43,,836.5,,,,,,,,,,,,,,,
