city_a,city_b,imo,companyName,ship,city_a_slug,city_b_slug,city_a_country_code,city_a_latitude,city_a_longitude,city_b_country_code,city_b_latitude,city_b_longitude,city_a_geonameid,city_b_geonameid,name
Agios Efstratios,Kavala,9215555.0,Blue Star Ferries,Nissos Chios,agios-efstratios,kavala,GR,39.53889,24.991670000000003,GR,40.93959,24.40687,263960.0,735861.0,NISSOS CHIOS
Agios Efstratios,Limnos (Myrina),9215555.0,Blue Star Ferries,Nissos Chios,agios-efstratios,limnos-myrina,GR,39.53889,24.991670000000003,GR,39.874829999999996,25.063589999999998,263960.0,256930.0,NISSOS CHIOS
Agios Kirikos,Fournoi,9215555.0,Blue Star Ferries,Nissos Chios,agios-kirikos,fournoi,GR,37.787729999999996,20.83085,GR,37.5785,26.480690000000003,263869.0,8359411.0,NISSOS CHIOS
Agios Kirikos,Mytilene,9215555.0,Blue Star Ferries,Nissos Chios,agios-kirikos,mytilene,GR,37.787729999999996,20.83085,GR,39.10772,26.555290000000003,263869.0,256866.0,NISSOS CHIOS
Alcudia,Barcelone,9390367.0,Balearia,Martin I Soler,alcudia,barcelone,ES,39.19717,-0.50537,ES,41.38879,2.15899,2522085.0,3128760.0,MARTIN I SOLER
Alcudia,Ciutadella,9390367.0,Balearia,Martin I Soler,alcudia,ciutadella,ES,39.19717,-0.50537,ES,40.00112,3.84144,2522085.0,3124967.0,MARTIN I SOLER
Algésiras,Ceuta,9170183.0,Balearia,Avemar Dos,algesiras,ceuta,ES,36.13326,-5.4505099999999995,ES,35.88919,-5.3204199999999995,2522013.0,6362987.0,AVEMAR DOS
Algésiras,Ceuta,9465239.0,Balearia,Passio Per Formentera,algesiras,ceuta,ES,36.13326,-5.4505099999999995,ES,35.88919,-5.3204199999999995,2522013.0,6362987.0,PASSIO PER FORMENTERA
Algésiras,Tanger Med,8208763.0,Balearia,Poeta Lopez Anglada,algesiras,tanger-med,ES,36.13326,-5.4505099999999995,MA,35.76727,-5.79975,2522013.0,2530335.0,POETA LOPEZ ANGLADA
Algésiras,Tanger Med,8512152.0,Trasmediterranea,Al Andalus Express,algesiras,tanger-med,ES,36.13326,-5.4505099999999995,MA,35.76727,-5.79975,2522013.0,2530335.0,AL ANDALUS EXPRESS
Algésiras,Tanger Med,9080015.0,Trasmediterranea,Ciudad De Málaga,algesiras,tanger-med,ES,36.13326,-5.4505099999999995,MA,35.76727,-5.79975,2522013.0,2530335.0,CIUDAD DE MALAGA
Almeria,Nador,9019054.0,Balearia,Denia Ciutat Creativa,almeria,nador,ES,36.83814,-2.45974,DZ,35.18568,1.4961200000000001,2521886.0,2479247.0,DENIA CIUTAT CREATIVA
Ancône,Durres,9351505.0,Minoan Lines,Cruise Olympia,ancone,durres,FR,44.581070000000004,4.72711,AL,41.32355,19.45469,3037770.0,3185728.0,CRUISE OLYMPIA
Ancône,Igoumenitsa,9227417.0,Anek Superfast,Superfast Xi,ancone,igoumenitsa,FR,44.581070000000004,4.72711,GR,39.50342,20.26728,3037770.0,261807.0,SUPERFAST XI
Ancône,Igoumenitsa,9351505.0,Minoan Lines,Cruise Olympia,ancone,igoumenitsa,FR,44.581070000000004,4.72711,GR,39.50342,20.26728,3037770.0,261807.0,CRUISE OLYMPIA
Ancône,Patras,9220342.0,Minoan Lines,Mykonos Palace,ancone,patras,FR,44.581070000000004,4.72711,GR,38.244440000000004,21.73444,3037770.0,255683.0,MYKONOS PALACE
Ancône,Patras,9227417.0,Anek Superfast,Superfast Xi,ancone,patras,FR,44.581070000000004,4.72711,GR,38.244440000000004,21.73444,3037770.0,255683.0,SUPERFAST XI
Andros,Mykonos,9223150.0,Cyclades Fast Ferries,Theologos P,andros,mykonos,GR,37.83333,24.933329999999998,GR,37.44529,25.32872,265040.0,257056.0,THEOLOGOS P.
Andros,Rafina,9223150.0,Cyclades Fast Ferries,Theologos P,andros,rafina,GR,37.83333,24.933329999999998,GR,38.01812,24.00599,265040.0,254425.0,THEOLOGOS P.
Andros,Tinos,9223150.0,Cyclades Fast Ferries,Theologos P,andros,tinos,GR,37.83333,24.933329999999998,GR,37.53753,25.163429999999998,265040.0,252854.0,THEOLOGOS P.
Arrecife,Cadiz,9349772.0,Trasmediterranea,Ciudad De Palma,arrecife,cadiz,ES,28.96302,-13.54769,ES,36.526720000000005,-6.2891,2521570.0,2520600.0,CIUDAD DE PALMA
Arrecife,Santa Cruz de La Palma,9349772.0,Trasmediterranea,Ciudad De Palma,arrecife,santa-cruz-de-la-palma,ES,28.96302,-13.54769,ES,28.68351,-17.764210000000002,2521570.0,2511180.0,CIUDAD DE PALMA
Astypalea,Kalymnos,9565041.0,Blue Star Ferries,Blue Star Patmos,astypalea,kalymnos,GR,36.55,26.35,GR,36.9503,26.98388,264408.0,261507.0,BLUE STAR PATMOS
